CustomerID,CustomerName,ContactInfo,Industry,Location
CG-12520,Claire Gute,42420,Consumer,Henderson
CG-12520,Claire Gute,42420,Consumer,Henderson
DV-13045,Darrin Van Huff,90036,Corporate,Los Angeles
SO-20335,Sean O'Donnell,33311,Consumer,Fort Lauderdale
SO-20335,Sean O'Donnell,33311,Consumer,Fort Lauderdale
BH-11710,Brosina Hoffman,90032,Consumer,Los Angeles
BH-11710,Brosina Hoffman,90032,Consumer,Los Angeles
BH-11710,Brosina Hoffman,90032,Consumer,Los Angeles
BH-11710,Brosina Hoffman,90032,Consumer,Los Angeles
BH-11710,Brosina Hoffman,90032,Consumer,Los Angeles
BH-11710,Brosina Hoffman,90032,Consumer,Los Angeles
BH-11710,Brosina Hoffman,90032,Consumer,Los Angeles
AA-10480,Andrew Allen,28027,Consumer,Concord
IM-15070,Irene Maddox,98103,Consumer,Seattle
HP-14815,Harold Pawlan,76106,Home Office,Fort Worth
HP-14815,Harold Pawlan,76106,Home Office,Fort Worth
PK-19075,Pete Kriz,53711,Consumer,Madison
AG-10270,Alejandro Grove,84084,Consumer,West Jordan
ZD-21925,Zuschuss Donatelli,94109,Consumer,San Francisco
ZD-21925,Zuschuss Donatelli,94109,Consumer,San Francisco
ZD-21925,Zuschuss Donatelli,94109,Consumer,San Francisco
KB-16585,Ken Black,68025,Corporate,Fremont
KB-16585,Ken Black,68025,Corporate,Fremont
SF-20065,Sandra Flanagan,19140,Consumer,Philadelphia
EB-13870,Emily Burns,84057,Consumer,Orem
EH-13945,Eric Hoffmann,90049,Consumer,Los Angeles
EH-13945,Eric Hoffmann,90049,Consumer,Los Angeles
TB-21520,Tracy Blumstein,19140,Consumer,Philadelphia
TB-21520,Tracy Blumstein,19140,Consumer,Philadelphia
TB-21520,Tracy Blumstein,19140,Consumer,Philadelphia
TB-21520,Tracy Blumstein,19140,Consumer,Philadelphia
TB-21520,Tracy Blumstein,19140,Consumer,Philadelphia
TB-21520,Tracy Blumstein,19140,Consumer,Philadelphia
TB-21520,Tracy Blumstein,19140,Consumer,Philadelphia
MA-17560,Matt Abelman,77095,Home Office,Houston
GH-14485,Gene Hale,75080,Corporate,Richardson
GH-14485,Gene Hale,75080,Corporate,Richardson
SN-20710,Steve Nguyen,77041,Home Office,Houston
SN-20710,Steve Nguyen,77041,Home Office,Houston
